Code,EN,JP,CH
Front,Front,ホール,大厅
Arcade,Arcade,クエスト,探险
illegalword,illegal words,使用できない単語が含んでる,监测到非法字符
NormalSkill,Normal Skill,Normal Skill,普通招数
Ex1Skill,Ex1 Skill,Ex1 Skill,一费必杀技
Ex2Skill,Ex2 Skill,Ex2 Skill,二费必杀技
Ex3Skill,Ex3 Skill,Ex3 Skill,三费必杀技
TryFilterRange,Choose different ranges of skills,Choose different ranges of skills,可以选择不同攻击距离的技能
fill9Slots,Fill Nine Slots,"戦士の技を自由に装備、編集する画面です。
左のボックスからストンーを選んで、9 slotsにドラッグしましょう。",尝试通过安装技能石为战士佩戴不同技能
InvalidUsername,Invalid Username,Invalid Username,Invalid Username
DuplicateUsername,Duplicate Username,Duplicate Username,Duplicate Username
InvalidUsername,Invalid Username,使用できない単語が含んでる,监测到非法字符
NoEnoughStoneToFill,No Enough Stones,No Enough Stones,技能石不足
UnBalanced,Too much sp skill. Try use normal skill to balance your skill set,Too much sp skill. Try use normal skill to balance your skill set,必杀技过多
CantEquipSameSkill,Cant Equip Same Skill,Cant Equip Same Skill,Cant Equip Same Skill
NotFull,Not Full,全てのスロットを満たしましょう,不满
AColumnNeedNormal,AColumnNeedNormal,AColumnNeedNormal,第一列需要普通招数
BornSkillCantRemove,BornSkillCantRemove,BornSkillCantRemove,BornSkillCantRemove
NotLegalButStillUpdate,NotLegalButStillUpdate,技能组非法，仍然更新？,NotLegalButStillUpdate
SKillConfirm,Confirm,確定,Confirm
OtherUnitUsing,其他角色使用中,其他角色使用中,其他角色使用中
GotNewUnit,Joined your team !,加入队伍!,加入队伍!
NoEnoughGD,No Enough golds,智慧宝石数量不足,智慧宝石数量不足
NoArenaEnoughTicket,竞技场入场票不足,竞技场入场票不足,竞技场入场票不足
EnterNickname,Enter Nickname( under 10 characters ),输入昵称（10文字以下）,输入昵称（10文字以下）
ToNewStage, 最新へ, 最新へ,最新关卡
Yes,Yes,Yes,Yes
No,No,No,No
story,,,2050年初，形如漩涡的诡异现象出现在世界各地上空，随即无数彩色石块从天而降。神奇的是，只要人接触了这种被称为“技能宝石”的石块，就能将其摄入体内，获得一项极具攻击性的能力。同时疑似外形人的生物不断出现并对人类发动攻击，普通民众为了保护自己而开始收集并配备技能宝石。更糟糕的是，一部分由此获得力量的人类将技能宝石看作征服世界的机会。怀着不同的目的，人们纷纷迈入战场。
,,,按下后将依次释放技能组第一行技能
,,,角色当前HP与能量值，必杀技在能量值不够的情况下无法释放。
,,,点击可切换成自动或手动模式
,,,普通技能
,,,一级必杀技能（消耗一能量值）
,,,一级必杀技能（消耗二能量值）
,,,三级必杀技能（消耗三能量值）
,,,请尝试用技能石填满技能槽
,,,只有技能组完整的角色才能加入战斗
,,,"以下是你的邮箱,点击下方按钮发送账户密码设置邮件，然后登陆邮箱设置你的密码。你可以在其他设备上靠输入该邮箱和设置的密码来登陆本账户。"
TeamNotFull,TeamNotFull,TeamNotFull,TeamNotFull
tetsuya,,,热爱足球的高中二年级学生。天生拥有电气超能力。
adam,,,体操选手，自漩涡开始出现在天空，他擅长的体操动作忽然变的更有力而具攻击性。
yuta,,,総合格闘技選手，曾拿过世界大赛冠军。为了确保乱世下自己仍是世界最强，踏上了战斗与收集技能石的旅途。
yumi,,,女高中生。铁也的姐姐。
maggie,,,自由职业者，喜欢美甲。战斗时为了保护手而戴着拳击手套。
sybill,,,自称占卜师，四处宣扬技能石的降落是神在试图毁灭人类。
martialDemon,,,世界各地神秘出现的怪物，被怀疑为外星人。会对人类展开攻击。他们的出现促使人们主动将技能石装备入体内寻求自我保护。
